annotator_id,prompt_id,seed_id,cited,submitted_at
A1,N0P105,SEED_1,0,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_10,1,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_101,0,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_105,1,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_106,0,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_107,0,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_11,1,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_111,1,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_115,0,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_117,0,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_21,0,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_28,0,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_31,0,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_38,0,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_4,1,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_47,0,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_48,0,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_50,0,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_51,1,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_58,0,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_60,1,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_7,1,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_70,0,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_72,0,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_81,0,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_83,0,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_87,0,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_89,0,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_97,1,2026-06-07 05:17:10.611903+00
A1,N0P105,SEED_99,0,2026-06-07 05:17:10.611903+00
A1,N0P111,SEED_0,1,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_101,1,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_104,0,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_107,0,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_108,0,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_111,0,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_113,0,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_13,0,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_17,0,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_25,0,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_31,0,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_32,0,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_38,1,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_41,0,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_42,1,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_46,0,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_48,1,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_50,0,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_55,0,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_56,0,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_58,1,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_63,1,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_76,1,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_77,1,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_78,0,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_79,0,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_80,0,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_83,0,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_88,0,2026-06-07 05:14:25.351321+00
A1,N0P111,SEED_92,0,2026-06-07 05:14:25.351321+00
A2,N0P1,SEED_0,1,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_102,0,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_118,0,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_15,1,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_2,1,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_25,0,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_28,0,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_29,0,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_31,1,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_39,1,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_43,0,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_47,0,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_51,0,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_56,1,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_57,1,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_66,1,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_69,0,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_70,0,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_75,0,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_8,1,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_80,0,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_83,0,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_85,0,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_88,0,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_9,0,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_90,1,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_91,0,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_93,0,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_96,0,2026-06-09 00:53:43.004398+00
A2,N0P1,SEED_98,0,2026-06-09 00:53:43.004398+00
A2,N0P102,SEED_102,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_103,1,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_104,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_106,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_17,1,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_19,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_21,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_25,1,2026-06-09 02:58:46.20249+00
