paraphraser,n,overlap,coreness_r,len_change,diag,pass
gemini_3_1_pro_preview,120,0.0098,0.9504,-0.0241,1.0,1
gpt_4_1,120,0.0154,0.959,0.0059,1.0,1
gpt_4_1_mini,120,0.0227,0.958,-0.0783,1.0,1
gemini_2_5_flash,120,0.0403,0.9621,-0.0178,1.0,1
claude_opus_4_8,120,0.0454,0.9841,0.032,1.0,1
gemini_2_5_pro,120,0.0495,0.9763,-0.0412,1.0,1
gemini_3_1_flash_lite,120,0.0116,0.933,-0.187,0.975,0
claude_haiku_4_5,120,0.0129,0.9329,-0.1518,1.0,0
claude_sonnet_4_6,120,0.0557,0.9729,0.0032,1.0,0
gpt_5,120,0.1367,0.9807,-0.0749,1.0,0
gpt_5_mini,120,0.1483,0.9749,-0.0298,1.0,0
