model,node,prompt_id,prompt_type,n_shown,papers_shown,papers_selected,n_selected,cited_not_shown,n_cited_not_shown,n_fabricated,hallucination_rate
gemini-2.5-flash,1,N1P0,literature review,30,SEED_9; N0P9; SEED_40; SEED_86; SEED_72; SEED_57; N0P104; N0P13; N0P52; SEED_108; N0P60; N0P117; N0P0; SEED_83; N0P118; N0P33; N0P38; N0P20; SEED_96; SEED_114; SEED_31; SEED_107; SEED_51; N0P95; N0P114; SEED_20; SEED_46; N0P44; N0P51; SEED_1,N0P9; N0P60; N0P13; N0P117; SEED_86; SEED_9; SEED_40; SEED_108; SEED_96; SEED_51,10,,0,0,0.0
gemini-2.5-flash,1,N1P1,position paper,30,SEED_27; N0P30; SEED_13; SEED_4; SEED_118; N0P100; SEED_18; N0P106; N0P8; N0P60; SEED_56; SEED_14; N0P111; N0P72; SEED_55; N0P110; SEED_37; SEED_102; N0P59; N0P108; N0P77; N0P97; N0P15; N0P37; N0P5; N0P23; SEED_86; N0P24; N0P6; SEED_76,N0P30; N0P100; N0P97; SEED_18; SEED_27; SEED_4; SEED_118; SEED_14; SEED_37; SEED_86,10,,0,0,0.0
gemini-2.5-flash,1,N1P10,position paper,30,SEED_108; SEED_70; SEED_33; N0P100; N0P106; SEED_19; SEED_77; N0P74; SEED_12; N0P87; SEED_5; N0P39; SEED_81; SEED_80; SEED_91; N0P64; N0P26; N0P17; N0P49; N0P72; N0P117; SEED_27; SEED_61; SEED_14; N0P59; N0P31; SEED_59; SEED_105; SEED_4; SEED_18,N0P100; N0P106; N0P59; SEED_108; SEED_14; SEED_70; SEED_61; SEED_27; SEED_80; SEED_33,10,,0,0,0.0
gemini-2.5-flash,1,N1P100,literature review,30,N0P114; SEED_88; N0P106; SEED_70; SEED_118; SEED_0; SEED_16; SEED_95; N0P51; N0P5; N0P52; SEED_82; N0P36; SEED_111; N0P56; N0P35; SEED_7; SEED_104; SEED_96; N0P57; N0P18; N0P112; N0P6; N0P65; N0P60; N0P15; N0P55; SEED_47; SEED_35; N0P116,N0P114; N0P106; N0P51; SEED_95; SEED_88; SEED_118; SEED_0; SEED_70; SEED_16; SEED_35,10,,0,0,0.0
gemini-2.5-flash,1,N1P101,position paper,30,N0P103; N0P79; N0P80; N0P105; N0P86; SEED_105; N0P46; N0P20; SEED_9; N0P48; SEED_85; SEED_59; SEED_84; SEED_27; SEED_12; N0P25; N0P51; SEED_49; N0P82; N0P49; SEED_18; SEED_8; SEED_54; N0P104; N0P44; N0P108; N0P70; SEED_29; N0P101; SEED_88,N0P103; N0P86; N0P20; N0P48; N0P49; N0P79; N0P46; N0P105; SEED_27; SEED_88,10,,0,0,0.0
gemini-2.5-flash,1,N1P102,literature review,30,SEED_109; N0P21; SEED_40; SEED_102; SEED_46; N0P77; N0P29; N0P4; SEED_77; SEED_44; SEED_85; N0P10; N0P103; N0P117; N0P56; SEED_73; N0P95; SEED_112; N0P52; N0P6; N0P82; SEED_25; N0P112; SEED_62; SEED_71; SEED_114; N0P34; N0P113; SEED_82; N0P64,N0P21; N0P77; N0P34; SEED_114; SEED_46; SEED_85; SEED_25; SEED_109; SEED_77; SEED_71,10,,0,0,0.0
gemini-2.5-flash,1,N1P103,literature review,30,SEED_31; N0P82; SEED_77; N0P91; N0P5; SEED_23; SEED_107; SEED_16; SEED_58; SEED_78; N0P71; SEED_115; N0P96; SEED_94; SEED_28; N0P17; N0P100; SEED_108; SEED_119; SEED_61; N0P62; SEED_40; SEED_2; N0P31; SEED_110; SEED_72; SEED_9; N0P79; N0P10; N0P87,N0P82; N0P91; N0P71; SEED_58; SEED_61; SEED_31; SEED_115; SEED_77; SEED_23; SEED_9,10,,0,0,0.0
gemini-2.5-flash,1,N1P104,literature review,30,N0P12; SEED_94; SEED_95; SEED_55; N0P14; N0P13; N0P34; SEED_36; N0P117; N0P105; N0P33; SEED_16; N0P2; N0P59; N0P27; SEED_44; SEED_58; N0P10; N0P23; N0P61; N0P35; N0P89; N0P75; N0P111; N0P43; N0P51; SEED_73; SEED_116; SEED_42; N0P32,N0P14; N0P12; N0P105; N0P10; N0P34; SEED_95; N0P2; N0P117; N0P13; N0P51,10,,0,0,0.0
gemini-2.5-flash,1,N1P105,literature review,30,N0P49; SEED_51; SEED_56; N0P31; SEED_76; N0P18; N0P63; N0P27; SEED_110; SEED_18; SEED_83; N0P10; SEED_43; SEED_113; N0P6; SEED_111; SEED_61; SEED_68; SEED_66; SEED_26; SEED_112; SEED_118; SEED_24; N0P23; N0P57; SEED_12; N0P98; N0P96; N0P33; N0P114,N0P49; N0P18; N0P63; SEED_18; SEED_61; SEED_26; SEED_51; SEED_83; SEED_56; SEED_43,10,,0,0,0.0
gemini-2.5-flash,1,N1P106,position paper,30,SEED_101; SEED_97; SEED_57; SEED_66; SEED_81; SEED_11; N0P92; SEED_102; N0P111; N0P115; N0P93; SEED_50; SEED_58; SEED_99; N0P47; N0P6; SEED_7; N0P32; SEED_77; SEED_72; SEED_88; SEED_93; SEED_9; N0P4; SEED_2; N0P9; N0P1; SEED_74; SEED_108; SEED_59,N0P92; SEED_99; N0P111; N0P1; SEED_11; SEED_88; SEED_58; SEED_101; SEED_57; SEED_81,10,,0,0,0.0
gemini-2.5-flash,1,N1P107,position paper,30,N0P87; N0P94; SEED_53; SEED_28; N0P92; SEED_76; N0P44; SEED_18; SEED_45; N0P54; SEED_44; N0P79; SEED_63; SEED_82; SEED_56; SEED_96; N0P77; N0P6; N0P47; N0P41; N0P81; SEED_100; N0P23; SEED_102; SEED_38; N0P49; N0P43; SEED_119; N0P52; SEED_20,N0P94; N0P6; N0P87; N0P49; N0P43; SEED_18; SEED_53; SEED_28; SEED_44; N0P54,10,,0,0,0.0
