model,node,prompt_id,prompt_type,n_shown,papers_shown,papers_selected,n_selected,cited_not_shown,n_cited_not_shown,n_fabricated,hallucination_rate
gemini-2.5-pro,0,N0P0,position paper,30,SEED_14; SEED_118; SEED_46; SEED_112; SEED_106; SEED_103; SEED_39; SEED_30; SEED_7; SEED_116; SEED_72; SEED_10; SEED_108; SEED_93; SEED_62; SEED_104; SEED_8; SEED_97; SEED_68; SEED_98; SEED_16; SEED_99; SEED_84; SEED_60; SEED_70; SEED_21; SEED_33; SEED_67; SEED_77; SEED_54,SEED_46; SEED_118; SEED_30; SEED_99; SEED_14; SEED_39; SEED_106; SEED_112; SEED_103; SEED_33,10,,0,0,0.0
gemini-2.5-pro,0,N0P1,position paper,30,SEED_118; SEED_69; SEED_96; SEED_93; SEED_88; SEED_25; SEED_91; SEED_39; SEED_51; SEED_85; SEED_83; SEED_47; SEED_56; SEED_66; SEED_57; SEED_15; SEED_31; SEED_28; SEED_8; SEED_43; SEED_2; SEED_75; SEED_70; SEED_29; SEED_98; SEED_102; SEED_0; SEED_9; SEED_90; SEED_80,SEED_88; SEED_118; SEED_96; SEED_39; SEED_56; SEED_98; SEED_25; SEED_69; SEED_43; SEED_90,10,,0,0,0.0
gemini-2.5-pro,0,N0P10,literature review,30,SEED_118; SEED_30; SEED_110; SEED_20; SEED_102; SEED_103; SEED_22; SEED_112; SEED_52; SEED_3; SEED_113; SEED_94; SEED_42; SEED_100; SEED_111; SEED_115; SEED_85; SEED_108; SEED_31; SEED_34; SEED_116; SEED_89; SEED_13; SEED_48; SEED_4; SEED_60; SEED_28; SEED_25; SEED_58; SEED_44,SEED_108; SEED_118; SEED_30; SEED_89; SEED_112; SEED_22; SEED_52; SEED_3; SEED_103; SEED_20,10,,0,0,0.0
gemini-2.5-pro,0,N0P100,position paper,30,SEED_111; SEED_9; SEED_24; SEED_102; SEED_97; SEED_75; SEED_92; SEED_85; SEED_71; SEED_27; SEED_61; SEED_26; SEED_42; SEED_38; SEED_1; SEED_110; SEED_117; SEED_94; SEED_15; SEED_95; SEED_96; SEED_109; SEED_31; SEED_89; SEED_77; SEED_90; SEED_108; SEED_50; SEED_30; SEED_70,SEED_95; SEED_15; SEED_108; SEED_90; SEED_89; SEED_24; SEED_26; SEED_77; SEED_111; SEED_27,10,,0,0,0.0
gemini-2.5-pro,0,N0P101,literature review,30,SEED_99; SEED_36; SEED_48; SEED_59; SEED_68; SEED_83; SEED_45; SEED_39; SEED_33; SEED_46; SEED_65; SEED_63; SEED_116; SEED_12; SEED_102; SEED_92; SEED_60; SEED_97; SEED_40; SEED_26; SEED_47; SEED_101; SEED_52; SEED_5; SEED_72; SEED_28; SEED_18; SEED_2; SEED_111; SEED_70,SEED_99; SEED_46; SEED_59; SEED_83; SEED_68; SEED_36; SEED_45; SEED_26; SEED_48; SEED_33,10,,0,0,0.0
gemini-2.5-pro,0,N0P102,literature review,30,SEED_37; SEED_19; SEED_25; SEED_42; SEED_29; SEED_48; SEED_72; SEED_106; SEED_31; SEED_63; SEED_70; SEED_83; SEED_87; SEED_43; SEED_32; SEED_97; SEED_62; SEED_92; SEED_82; SEED_94; SEED_103; SEED_58; SEED_21; SEED_93; SEED_45; SEED_104; SEED_17; SEED_102; SEED_69; SEED_99,SEED_83; SEED_42; SEED_31; SEED_99; SEED_72; SEED_70; SEED_25; SEED_32; SEED_63; SEED_19,10,,0,0,0.0
gemini-2.5-pro,0,N0P103,literature review,30,SEED_117; SEED_113; SEED_69; SEED_82; SEED_7; SEED_67; SEED_4; SEED_107; SEED_108; SEED_9; SEED_104; SEED_85; SEED_6; SEED_97; SEED_0; SEED_52; SEED_17; SEED_80; SEED_29; SEED_8; SEED_90; SEED_19; SEED_1; SEED_27; SEED_64; SEED_58; SEED_47; SEED_115; SEED_79; SEED_81,SEED_108; SEED_107; SEED_6; SEED_90; SEED_64; SEED_4; SEED_8; SEED_47; SEED_85; SEED_9,10,,0,0,0.0
gemini-2.5-pro,0,N0P104,literature review,30,SEED_84; SEED_62; SEED_2; SEED_0; SEED_68; SEED_70; SEED_52; SEED_1; SEED_117; SEED_67; SEED_92; SEED_35; SEED_115; SEED_36; SEED_111; SEED_64; SEED_89; SEED_86; SEED_55; SEED_22; SEED_13; SEED_12; SEED_110; SEED_19; SEED_30; SEED_24; SEED_79; SEED_97; SEED_32; SEED_45,SEED_62; SEED_36; SEED_89; SEED_0; SEED_30; SEED_55; SEED_45; SEED_70; SEED_84; SEED_86,10,,0,0,0.0
gemini-2.5-pro,0,N0P105,literature review,30,SEED_101; SEED_50; SEED_10; SEED_47; SEED_51; SEED_58; SEED_72; SEED_31; SEED_89; SEED_28; SEED_38; SEED_87; SEED_105; SEED_117; SEED_83; SEED_107; SEED_97; SEED_4; SEED_11; SEED_115; SEED_48; SEED_99; SEED_70; SEED_60; SEED_7; SEED_81; SEED_1; SEED_111; SEED_21; SEED_106,SEED_47; SEED_89; SEED_58; SEED_21; SEED_99; SEED_72; SEED_31; SEED_10; SEED_51; SEED_87,10,,0,0,0.0
gemini-2.5-pro,0,N0P106,literature review,30,SEED_108; SEED_55; SEED_82; SEED_100; SEED_42; SEED_72; SEED_109; SEED_12; SEED_67; SEED_5; SEED_29; SEED_27; SEED_88; SEED_114; SEED_60; SEED_34; SEED_110; SEED_9; SEED_87; SEED_35; SEED_69; SEED_106; SEED_84; SEED_4; SEED_22; SEED_40; SEED_2; SEED_26; SEED_75; SEED_18,SEED_108; SEED_42; SEED_72; SEED_4; SEED_12; SEED_9; SEED_88; SEED_109; SEED_55; SEED_18,10,,0,0,0.0
gemini-2.5-pro,0,N0P107,literature review,30,SEED_118; SEED_9; SEED_38; SEED_20; SEED_72; SEED_30; SEED_115; SEED_106; SEED_108; SEED_49; SEED_86; SEED_69; SEED_42; SEED_110; SEED_96; SEED_94; SEED_17; SEED_101; SEED_88; SEED_92; SEED_10; SEED_64; SEED_95; SEED_44; SEED_6; SEED_12; SEED_55; SEED_29; SEED_119; SEED_43,SEED_95; SEED_72; SEED_88; SEED_108; SEED_118; SEED_30; SEED_115; SEED_9; SEED_20; SEED_17,10,,0,0,0.0
