model,node,prompt_id,prompt_type,n_shown,papers_shown,papers_selected,n_selected,cited_not_shown,n_cited_not_shown,n_fabricated,hallucination_rate
gemini-2.5-pro,9,N9P0,position paper,30,N8P4; N6P1; N0P0; N8P75; SEED_94; N2P61; N3P41; N0P45; N0P11; SEED_85; N4P25; N6P19; N0P64; N7P109; N2P92; N8P11; N2P81; N8P98; N4P45; N5P39; N1P104; N1P3; SEED_7; N7P51; N4P115; N1P61; N3P117; SEED_109; N5P119; SEED_38,N8P4; N6P1; N8P75; N0P0; N2P61; N7P51; N0P45; N0P11; SEED_85; SEED_94,10,,0,0,0.0
gemini-2.5-pro,9,N9P1,position paper,30,N8P19; N3P73; N3P59; N1P38; N6P63; N5P81; N4P23; N0P22; N3P54; N3P108; N4P100; N1P14; SEED_76; N0P106; N7P0; N5P35; N2P6; N0P75; N4P115; N4P111; N6P114; N1P89; N7P62; N6P107; N0P87; N0P79; SEED_42; N1P110; N5P34; N8P14,N0P22; N4P115; N8P19; N3P73; N1P38; N1P14; N3P108; N5P81; N2P6; N3P54,10,,0,0,0.0
gemini-2.5-pro,9,N9P10,literature review,30,SEED_62; N1P70; N4P26; N0P22; N0P26; N2P36; N7P97; N3P32; N7P50; N1P9; N7P52; N1P48; N3P13; N4P41; N4P15; N4P90; N2P49; N3P79; N3P55; N0P55; N0P84; N0P77; N3P16; N4P12; N2P55; N0P23; N1P113; N7P17; N0P89; N0P86,N0P89; N0P86; N1P70; N4P26; N2P36; N0P22; N1P9; SEED_62; N3P16; N0P55,10,,0,0,0.0
gemini-2.5-pro,9,N9P100,literature review,30,N2P99; N5P52; N6P74; N1P53; N0P72; N3P73; N3P88; N2P110; N3P37; N5P4; N2P15; SEED_67; N6P39; N3P41; N2P22; N2P62; N8P8; N7P52; N8P101; SEED_34; N5P26; N8P98; N5P105; N7P82; N6P79; N0P75; N1P58; N0P89; N4P21; N7P42,N3P41; N0P89; N2P99; N6P74; N0P72; N1P53; N0P75; N3P73; N2P110; N3P88,10,,0,0,0.0
gemini-2.5-pro,9,N9P101,position paper,30,N0P77; N7P23; N1P53; N0P43; N7P4; N5P8; N4P119; N4P31; SEED_55; N5P28; N7P48; N2P57; SEED_3; N4P32; N7P42; N2P60; SEED_98; N8P88; N8P76; N1P55; SEED_71; N7P101; N6P20; N7P33; N7P117; N3P84; N3P103; N6P79; SEED_85; N1P119,N7P23; N0P77; N7P4; N2P57; N0P43; SEED_98; N5P8; N7P101; SEED_55; SEED_3,10,,0,0,0.0
gemini-2.5-pro,9,N9P102,literature review,30,N3P101; SEED_45; N6P41; N4P111; N2P5; N6P60; N2P19; SEED_60; N6P22; N8P60; N1P6; N3P44; N2P67; N2P109; N0P78; N4P23; N5P45; N8P57; N7P64; N7P54; N4P35; N3P13; N6P86; N2P34; N6P5; N4P16; N1P88; N4P15; N2P18; N3P77,N6P41; N2P5; N2P34; N0P78; N3P101; N2P109; N2P67; N5P45; SEED_45; SEED_60,10,,0,0,0.0
gemini-2.5-pro,9,N9P103,position paper,30,N7P97; N6P118; N7P10; N6P87; N4P17; N8P72; N7P17; N8P10; N6P85; N5P106; N5P97; N7P95; N7P39; N1P60; SEED_95; N8P45; N0P61; N6P62; N7P107; N2P110; N1P94; N7P104; N7P87; SEED_107; SEED_3; N2P10; N0P87; N4P19; N3P15; N2P1,N6P118; N7P97; N8P72; N8P45; N2P110; N6P85; N1P94; N4P17; N2P1; N0P61,10,,0,0,0.0
gemini-2.5-pro,9,N9P104,literature review,30,N6P54; SEED_19; N1P1; N8P50; N5P82; SEED_66; N2P54; N5P23; N5P13; SEED_86; N8P33; N2P88; N1P55; N0P110; SEED_35; SEED_45; N5P53; SEED_33; N4P67; N7P96; N8P8; N4P25; N4P103; N0P18; N3P58; N7P87; SEED_9; N3P87; N1P84; N7P36,N5P82; N5P13; N8P50; N6P54; N2P54; N7P36; N5P23; SEED_19; SEED_9; SEED_33,10,,0,0,0.0
gemini-2.5-pro,9,N9P105,literature review,30,N8P65; N2P11; N4P30; N7P94; N7P100; N0P31; N5P92; N2P47; N5P117; N8P5; N6P6; N5P12; N3P46; N5P41; N2P110; N3P19; N1P50; N6P49; N7P23; N8P57; N2P32; N8P40; SEED_34; N5P110; N7P34; N1P38; N3P9; N3P56; N3P21; N7P77,N7P23; N5P92; N2P11; N4P30; N8P65; N3P46; N2P47; N8P40; N5P110; N2P110,10,,0,0,0.0
gemini-2.5-pro,9,N9P106,literature review,30,N2P81; N4P116; N4P75; N3P77; N1P79; N7P84; N3P39; N8P35; N1P70; N4P54; SEED_109; SEED_74; N5P68; N6P34; N2P45; N2P62; N2P46; N3P53; N7P67; SEED_58; N3P105; N7P72; N0P24; N1P98; N5P5; SEED_77; N1P36; N3P30; N4P87; N1P47,N2P81; N4P75; N3P77; N1P70; N3P39; N7P84; N0P24; N8P35; N1P36; N5P5,10,,0,0,0.0
gemini-2.5-pro,9,N9P107,literature review,30,N1P88; N8P61; N7P112; N5P42; N3P28; N7P47; N2P99; N5P53; N7P44; N5P12; N6P77; N7P89; N8P65; SEED_70; N2P20; N6P106; SEED_4; N2P63; N5P13; N1P41; N2P91; N7P113; N6P109; N3P119; N3P72; N3P16; N2P66; N4P27; N5P2; N7P68,N1P88; N8P61; N5P42; N5P53; N2P99; N8P65; N3P28; N5P12; N6P77; N6P106,10,,0,0,0.0
gemini-2.5-pro,9,N9P108,position paper,30,N1P86; N5P46; N5P20; N1P55; N1P30; N3P87; N8P70; N8P73; N2P76; N8P7; N6P71; N2P33; N1P112; N0P105; N0P13; N4P68; N2P107; N7P84; N4P101; N8P118; N8P82; N5P55; N6P16; N0P37; N5P117; N5P80; N8P8; N6P20; N7P14; N3P75,N1P86; N8P82; N5P20; N5P117; N0P37; N0P13; N1P30; N8P8; N8P73; N2P107,10,,0,0,0.0
gemini-2.5-pro,9,N9P109,position paper,30,SEED_33; N3P83; N3P65; N8P0; N1P107; N1P86; N7P9; N0P66; N6P79; N2P4; N4P59; N6P6; SEED_114; N5P51; N1P58; SEED_57; N6P65; N7P40; N0P9; N6P71; N1P35; N4P61; SEED_104; N2P65; N4P104; N5P96; N3P82; N8P111; N1P44; N8P6,N3P65; N5P51; N3P83; N1P86; N8P0; N0P66; N1P35; SEED_33; N1P107; N4P61,10,,0,0,0.0
gemini-2.5-pro,9,N9P11,literature review,30,N7P114; N8P88; N2P60; N1P72; N7P29; N2P39; N4P19; N4P105; N0P69; N7P89; N4P67; N3P88; N2P94; N3P37; N7P67; N5P5; N4P60; N7P7; SEED_29; N7P51; N8P67; N2P93; N2P82; SEED_91; N7P40; SEED_83; N6P101; N2P35; N8P10; N4P47,N4P67; N3P37; N2P94; N7P114; N8P88; N1P72; N7P51; N0P69; N2P93; N3P88,10,,0,0,0.0
gemini-2.5-pro,9,N9P110,position paper,30,N8P22; N2P93; N3P91; N1P103; N1P117; N5P52; N3P109; N6P13; SEED_28; N8P34; N4P60; N7P1; N4P23; N0P44; N3P106; N5P2; N5P19; N2P20; N8P106; N8P6; N2P66; N6P54; SEED_104; N0P38; N0P66; SEED_40; N8P27; N6P4; SEED_69; N5P76,N8P34; N1P103; N3P91; N8P6; N3P109; N8P22; N5P52; N5P2; SEED_28; N8P106,10,,0,0,0.0
gemini-2.5-pro,9,N9P111,literature review,30,N4P2; N7P78; N4P50; N8P50; N1P12; N5P32; N6P89; N3P42; N3P37; N6P15; N0P102; SEED_107; N1P94; N3P36; N1P76; N5P115; N7P25; SEED_31; N6P101; N6P118; N2P118; N7P62; N2P107; N8P105; SEED_92; N6P46; N1P108; N1P48; N6P26; N0P104,N4P2; N4P50; N7P78; N5P32; N2P107; N1P76; N0P102; N3P37; N1P108; N3P36,10,,0,0,0.0
gemini-2.5-pro,9,N9P112,position paper,30,N0P6; N0P28; N2P105; N5P90; N7P56; N0P65; N2P36; N2P47; SEED_84; N3P49; N0P23; N1P3; N7P57; N7P33; N1P54; N8P41; N8P98; N1P73; N3P16; SEED_114; N0P87; N0P69; N2P71; N3P46; N0P89; N7P84; SEED_48; N3P24; N5P58; N5P91,N1P54; N2P105; N0P28; N3P46; N0P6; N3P24; SEED_114; N7P56; N1P3; N0P65,10,,0,0,0.0
gemini-2.5-pro,9,N9P113,position paper,30,N4P93; N5P11; N8P43; N6P40; N6P27; N1P19; SEED_100; N7P74; N0P37; SEED_25; N1P4; N7P37; N4P85; N7P69; N3P37; N7P4; N1P27; N4P97; N0P21; N7P117; N6P19; N2P58; N0P36; N1P63; N2P31; N7P97; N6P11; N7P16; N0P38; N7P96,N0P36; N1P27; N4P93; N6P40; N6P19; N0P38; N0P37; N1P19; SEED_25; N5P11,10,,0,0,0.0
gemini-2.5-pro,9,N9P114,position paper,30,SEED_85; N8P17; N4P79; N0P71; N3P119; N1P109; SEED_30; N5P82; SEED_94; N1P96; N3P1; N3P38; N8P7; N3P117; SEED_24; N5P39; N1P74; SEED_117; N5P47; SEED_50; SEED_20; N7P0; N3P78; N6P97; N3P47; N7P40; N3P81; N0P116; N2P70; N6P49,N0P71; N1P109; N4P79; N3P119; N5P39; N5P47; N0P116; N5P82; N1P96; SEED_30,10,,0,0,0.0
gemini-2.5-pro,9,N9P115,literature review,30,N7P16; N8P74; N2P20; N8P67; N7P24; N7P15; SEED_94; N6P101; SEED_25; SEED_114; N4P43; N1P28; N3P66; N1P105; N2P69; N8P77; N1P2; N2P48; N0P80; N0P105; N6P57; N4P37; N3P17; N5P67; N7P71; N2P85; N4P110; N2P26; N2P42; N2P117,N8P67; N2P20; N7P16; N6P101; N7P15; N0P105; SEED_25; SEED_94; N8P74; SEED_114,10,,0,0,0.0
gemini-2.5-pro,9,N9P116,literature review,30,N2P44; N6P98; N2P0; N6P82; N2P8; N6P61; N1P44; N1P119; N1P11; N3P91; N7P6; N3P68; N2P89; N8P30; N0P1; N7P35; N7P26; N6P62; N7P99; SEED_96; N8P86; N0P11; N6P74; N4P27; N4P58; N1P101; N5P29; N2P72; N3P86; N1P77,N0P1; N8P86; N2P44; N2P0; N6P98; N6P82; N1P101; N1P44; N2P89; SEED_96,10,,0,0,0.0
gemini-2.5-pro,9,N9P117,position paper,30,N8P6; N0P27; N7P28; N3P22; N8P22; N0P49; N2P44; N2P22; N5P93; N7P97; N4P24; N3P5; N4P66; N7P87; N2P28; N2P8; N5P110; N1P47; N0P102; N3P106; N7P15; N6P7; N7P80; N5P4; N0P38; N4P52; N6P54; N5P85; N2P24; N2P42,N8P6; N0P27; N8P22; N7P97; N3P22; N0P102; N1P47; N2P44; N3P5; N0P49,10,,0,0,0.0
gemini-2.5-pro,9,N9P118,position paper,30,N1P83; N8P2; N1P44; N3P80; SEED_82; N3P37; N0P18; N5P12; N3P2; SEED_48; N8P7; N7P20; N6P48; N7P119; SEED_15; SEED_95; N8P65; N4P63; N0P12; N2P13; N2P42; N5P109; N6P88; N4P27; N3P65; N7P113; N1P100; N6P11; N1P2; N8P24,N8P2; N3P37; N3P80; N0P12; N0P18; SEED_95; SEED_82; N1P44; N6P88; N6P48,10,,0,0,0.0
gemini-2.5-pro,9,N9P119,literature review,30,N2P39; N4P81; N7P104; N5P109; SEED_86; N0P67; N6P1; SEED_99; N2P115; N3P106; N8P105; N6P51; N6P18; N8P13; N1P22; N7P81; N2P117; N1P19; N2P109; N0P93; N1P101; N0P21; N6P115; N0P111; N0P26; SEED_50; N7P76; SEED_112; SEED_51; N0P102,N2P39; N6P1; N4P81; N1P101; N6P115; N0P111; N0P102; N0P93; N0P67; N8P13,10,,0,0,0.0
gemini-2.5-pro,9,N9P12,literature review,30,N1P105; N8P54; N4P62; N5P55; N1P73; N0P72; N8P37; N1P71; N4P35; N2P70; N5P58; N2P46; N2P99; N2P82; N8P98; N1P84; N8P114; N8P19; N7P69; N0P55; N6P26; N7P46; SEED_45; N3P66; N8P75; N8P112; SEED_42; N1P17; N7P86; N5P76,N8P54; N7P86; N8P19; N1P105; N8P114; N0P72; SEED_42; N4P62; N2P46; N0P55,10,,0,0,0.0
gemini-2.5-pro,9,N9P13,literature review,30,N3P47; N3P27; N8P92; N2P31; N0P84; N6P95; SEED_73; N5P65; N6P27; N8P83; N7P114; N4P74; N4P112; N8P52; N8P96; N4P45; N4P14; N2P42; N2P45; N5P20; N1P94; N4P24; N0P117; N8P59; SEED_75; N5P52; N7P46; N7P38; N3P77; N2P70,N3P27; N8P92; N3P47; N8P83; N0P84; N1P94; N6P27; N5P52; SEED_73; N0P117,10,,0,0,0.0
gemini-2.5-pro,9,N9P14,literature review,30,N2P104; N3P3; N6P5; N7P21; N8P24; N4P10; N8P6; N4P108; N4P2; N2P44; N0P69; SEED_34; N8P12; N6P44; N6P118; N0P51; N3P15; N7P38; SEED_37; N4P5; N7P75; N8P76; N0P99; N4P63; SEED_62; N3P11; N1P76; N8P32; N5P107; N1P65,N4P2; N7P21; N4P10; N8P6; N6P118; N2P104; N0P99; N0P69; N0P51; N2P44,10,,0,0,0.0
gemini-2.5-pro,9,N9P15,literature review,30,N2P63; N2P0; N3P72; N5P44; N5P119; N0P82; N8P86; N3P14; N0P64; N3P77; N3P28; N1P63; SEED_19; N2P48; N4P36; N0P49; N3P2; SEED_119; N6P2; N7P29; N6P6; N3P88; N1P67; N6P112; N4P35; N2P114; N6P117; N8P55; N0P90; N5P112,N0P82; N2P63; N3P72; N5P44; N3P28; N7P29; SEED_119; N3P77; N2P48; N0P64,10,,0,0,0.0
gemini-2.5-pro,9,N9P16,literature review,30,N0P41; N8P118; N5P10; SEED_113; N5P20; N5P119; N4P23; N0P8; N0P57; N6P45; N1P108; N8P9; N7P6; N3P31; N6P109; N1P56; N1P82; N0P60; N0P25; N7P70; N5P19; N6P114; N7P54; SEED_119; N4P61; N4P33; N1P61; N2P17; N4P48; N4P98,N5P10; N8P118; N5P20; N0P41; N7P70; N0P57; N1P61; N1P108; N6P45; N0P8,10,,0,0,0.0
gemini-2.5-pro,9,N9P17,literature review,30,N6P10; N2P34; N1P35; N7P97; N6P8; SEED_100; N3P106; SEED_102; N2P83; N6P74; SEED_3; N8P10; N6P91; N3P26; N4P14; N0P91; N0P93; N4P9; SEED_101; N8P79; N2P43; N7P80; N0P57; N5P54; N5P73; N8P28; N1P90; N5P63; N8P116; N6P24,N6P8; N3P26; N2P34; N6P10; N6P91; N0P91; N1P35; N0P57; N2P83; SEED_3,10,,0,0,0.0
gemini-2.5-pro,9,N9P18,literature review,30,N2P42; N1P13; SEED_100; N4P63; N4P39; N3P70; N7P4; N3P60; N8P57; N0P95; N5P4; N5P111; N0P33; N6P110; N7P74; N0P71; N8P15; N0P23; N2P27; N0P21; N3P2; N4P102; N7P105; N1P68; N0P83; N3P30; N1P61; N6P68; N3P92; N2P87,N0P95; N3P70; N8P57; N2P42; N4P39; N1P68; N7P105; N1P13; N2P27; SEED_100,10,,0,0,0.0
gemini-2.5-pro,9,N9P19,position paper,30,N1P20; SEED_14; N5P47; N8P65; N4P64; N5P79; N5P28; N6P81; N8P50; N8P54; N2P66; N6P61; N1P60; SEED_48; N0P21; N8P79; N5P67; N3P29; N0P91; N1P112; N4P49; N5P35; N3P115; N8P10; N3P77; N0P40; N2P75; N0P23; N5P59; N2P41,N1P20; N5P47; N0P91; N0P40; N8P54; N6P81; SEED_14; N2P66; N0P21,9,,0,0,0.0
