model,node,prompt_id,prompt_type,n_shown,papers_shown,papers_selected,n_selected,cited_not_shown,n_cited_not_shown,n_fabricated,hallucination_rate
gemini-3.1-flash-lite,5,N5P0,literature review,30,N1P73; N4P46; N2P92; N3P93; N3P27; N2P26; N1P76; N4P95; N3P48; N0P100; N2P62; N4P43; N2P40; N1P8; SEED_44; N0P0; N2P48; N3P110; N4P13; N0P107; N3P28; N1P44; N3P72; N3P29; N4P106; N0P92; N3P117; SEED_46; N4P61; N3P60,N3P27; N2P26; N3P48; N3P93; SEED_46; N1P76; N3P60; SEED_44; N3P72; N4P95,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P1,literature review,30,N2P76; SEED_101; N1P44; SEED_95; N0P9; N4P53; N3P104; N4P111; N4P6; N4P96; N1P28; N3P108; N3P15; N1P18; N0P60; N4P76; N1P100; N2P2; SEED_36; N2P68; N2P109; N3P3; N0P26; N1P94; N4P42; SEED_119; N1P74; N1P40; N0P35; N4P31,N2P76; N4P53; N4P111; N1P44; N2P68; SEED_36; SEED_101; N0P9; SEED_119; N4P96,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P10,position paper,30,SEED_42; N3P17; N0P79; N2P89; SEED_3; N3P56; SEED_0; N4P95; N0P13; N4P93; SEED_80; N4P63; N4P84; N2P64; N3P6; SEED_38; N3P103; SEED_8; N3P109; N1P64; N1P57; N1P79; N3P7; N2P52; N0P112; N0P96; N2P25; N1P23; N3P5; N1P28,N3P17; N3P56; N3P5; SEED_8; SEED_42; SEED_3; SEED_0; SEED_38; N4P93; N3P6,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P100,literature review,30,N4P116; N3P102; N1P52; N4P2; N4P112; N0P68; N4P48; N0P50; N2P11; N1P6; N0P2; N2P98; N4P31; SEED_115; N2P46; N2P69; N1P25; N2P15; SEED_77; N0P58; N1P94; N1P12; N3P47; N1P113; N2P48; N4P33; N4P7; N2P99; N2P82; N2P101,N4P112; N2P15; N4P116; N1P52; N0P50; N3P102; N0P68; N2P11; N0P2,9,,0,0,0.0
gemini-3.1-flash-lite,5,N5P101,position paper,30,N4P104; N3P34; N1P50; N1P82; N3P64; N1P100; N2P32; N3P76; N1P48; N0P7; N3P63; N1P94; N0P84; N2P91; N0P65; N4P1; N0P76; SEED_95; N2P54; N0P4; N2P30; N3P88; SEED_15; N1P76; N3P89; N2P89; N1P95; N0P73; SEED_19; N0P44,N0P4; N3P64; N2P91; N4P104; N3P76; N1P94; N0P76; N0P7; N0P73; N3P89,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P102,position paper,30,N0P114; N2P29; SEED_55; N4P20; N4P47; N2P90; N1P100; N2P16; N2P84; N1P87; SEED_15; N2P23; N1P32; N4P54; SEED_26; N1P41; N2P64; N4P72; N4P101; N3P77; N4P79; N0P78; N0P37; SEED_99; N4P51; N2P54; N0P97; N1P82; N0P27; N3P87,N2P23; N4P47; N2P90; N4P20; SEED_55; SEED_26; SEED_99; N1P100; N1P87; N0P78,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P103,literature review,30,SEED_48; N1P119; N0P24; N2P84; N4P93; SEED_39; N4P70; SEED_74; N4P91; N2P89; SEED_114; SEED_16; N4P6; SEED_30; N3P51; N1P35; N4P54; N2P68; SEED_17; N3P83; SEED_6; N1P100; N4P34; N0P39; N4P118; N3P23; N2P64; SEED_3; N0P105; N1P73,N0P24; N4P93; SEED_6; SEED_48; SEED_39; SEED_17; SEED_16; SEED_3; SEED_30; N0P39,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P104,position paper,30,SEED_20; SEED_82; N0P93; SEED_99; SEED_58; SEED_57; N4P11; SEED_81; N1P98; SEED_49; N0P98; SEED_7; N4P61; SEED_36; N3P80; N4P77; N3P6; N2P51; N1P48; N0P2; SEED_21; N3P84; N3P5; N4P107; SEED_74; SEED_110; N3P119; N0P0; SEED_32; N4P33,N4P107; N3P84; N1P98; N3P5; SEED_57; SEED_99; SEED_21; SEED_49; SEED_7; SEED_74,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P105,literature review,30,N4P65; N1P18; SEED_48; N3P2; N3P39; N2P100; SEED_37; N2P73; N4P38; SEED_58; SEED_53; N0P7; SEED_69; N4P59; SEED_71; SEED_113; SEED_106; N3P49; N1P62; N0P13; N2P98; N0P48; N0P15; N3P6; N3P62; N0P56; N2P104; N1P44; N3P55; SEED_11,N4P65; N3P2; N2P73; SEED_106; SEED_48; SEED_58; SEED_53; N4P38; N3P6; N3P55,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P106,literature review,30,N2P37; N4P31; N2P90; SEED_34; N4P15; N4P102; N1P58; N3P24; N4P61; N1P117; N1P65; N1P107; N0P25; N0P92; N1P91; SEED_99; N0P106; N2P5; N4P69; N4P8; SEED_6; N1P63; N2P31; N3P42; N0P6; N3P8; N1P61; N2P2; N2P51; SEED_14,N2P37; N2P90; SEED_6; N1P58; N4P31; SEED_14; N1P117; N1P65; N4P8; N0P25,10,,0,0,0.0
