model,node,prompt_id,prompt_type,n_shown,papers_shown,papers_selected,n_selected,cited_not_shown,n_cited_not_shown,n_fabricated,hallucination_rate
gemini-3.1-pro-preview,3,N3P0,literature review,30,N1P64; SEED_112; N2P60; N0P20; N0P59; N2P6; SEED_99; N1P79; N2P7; N2P107; SEED_55; N1P34; SEED_41; N0P27; SEED_46; N1P77; SEED_9; N2P8; SEED_16; N2P10; N0P75; N0P68; SEED_63; N1P52; SEED_118; N0P111; SEED_64; N0P7; N1P104; SEED_4,N1P64; SEED_46; SEED_9; SEED_55; SEED_99; SEED_112; SEED_64; SEED_4; SEED_41; N1P52,10,,0,0,0.0
gemini-3.1-pro-preview,3,N3P1,literature review,30,N1P62; N1P33; N0P119; N2P36; N2P29; N2P19; N2P20; N0P35; N0P1; N1P14; SEED_61; N1P84; N2P46; SEED_99; N1P1; N1P17; SEED_90; N0P30; N0P20; N1P71; N0P48; N2P7; SEED_89; N1P108; N0P111; SEED_75; N0P2; N1P4; N1P56; SEED_109,N1P33; N1P62; N2P36; N2P20; SEED_61; SEED_75; SEED_90; SEED_99; SEED_89; SEED_109,10,,0,0,0.0
gemini-3.1-pro-preview,3,N3P10,position paper,30,SEED_79; N2P46; SEED_41; N0P0; N2P77; SEED_77; N1P50; N2P34; N1P74; SEED_3; N1P85; SEED_91; N0P94; SEED_55; N0P101; N0P51; SEED_24; N0P118; N0P43; SEED_2; SEED_48; SEED_21; N0P89; SEED_93; SEED_35; N2P40; N0P26; SEED_78; SEED_110; SEED_107,N0P0; N2P46; N0P43; N2P40; N1P74; N0P101; SEED_41; N0P51; SEED_55; N0P94,10,,0,0,0.0
gemini-3.1-pro-preview,3,N3P100,position paper,30,N0P97; N2P15; SEED_17; N0P95; N2P59; SEED_77; N2P46; SEED_13; SEED_116; N0P57; N2P74; N1P12; SEED_7; N2P33; N2P55; N1P53; N2P69; N0P40; N1P39; N1P44; N1P98; N0P44; N1P61; N1P46; N0P51; N1P107; N2P92; N1P52; N0P17; N1P14,N0P97; N2P15; N2P59; SEED_17; SEED_13; SEED_77; N2P74; N0P95; SEED_116; SEED_7,10,,0,0,0.0
gemini-3.1-pro-preview,3,N3P101,position paper,30,N0P13; N2P35; SEED_24; N2P17; N2P2; N0P4; SEED_17; N1P67; N0P80; N1P43; SEED_110; N2P24; N2P37; SEED_31; N2P77; N1P29; N1P82; N1P49; N1P111; SEED_101; N0P92; N2P75; SEED_18; N0P1; N1P98; N2P74; SEED_21; N0P106; SEED_0; SEED_83,N2P17; N0P13; SEED_18; N2P37; SEED_21; SEED_0; SEED_24; N2P74; SEED_101; SEED_83,10,,0,0,0.0
gemini-3.1-pro-preview,3,N3P102,literature review,30,SEED_116; N2P21; SEED_63; N1P57; N1P25; SEED_34; SEED_62; N0P67; N0P37; N1P0; N2P5; N2P119; N1P60; SEED_108; N1P99; SEED_85; N0P50; N2P69; N2P58; N2P8; N1P73; N0P56; N1P7; SEED_95; N1P104; SEED_77; N1P118; N0P74; N1P31; N1P23,N1P25; N2P21; SEED_95; SEED_108; SEED_62; SEED_63; SEED_34; SEED_85; SEED_77; SEED_116,10,,0,0,0.0
gemini-3.1-pro-preview,3,N3P103,literature review,30,N1P113; N2P58; N1P95; N0P64; SEED_1; N2P115; N0P35; SEED_32; N0P4; SEED_52; N2P103; N2P75; N0P22; N0P50; N2P77; N1P44; N1P86; SEED_55; SEED_21; N2P81; SEED_17; N2P63; N1P72; SEED_33; N2P15; N0P110; SEED_60; N1P77; N0P69; N2P102,N2P58; N0P64; N0P35; SEED_32; SEED_60; SEED_55; SEED_52; SEED_1; N1P113; SEED_33,10,,0,0,0.0
gemini-3.1-pro-preview,3,N3P104,position paper,30,SEED_66; N2P33; N0P72; N1P83; N1P1; N0P37; N2P5; N0P47; N2P63; N1P11; N1P82; N2P21; N2P7; N1P4; N2P9; N1P61; N0P109; N1P25; N1P54; N2P57; N0P101; N2P29; SEED_43; N2P39; SEED_4; SEED_83; N1P20; N1P97; N2P31; N2P10,N2P33; N1P61; N0P37; N1P83; SEED_66; N1P4; SEED_43; N0P72; SEED_4; SEED_83,10,,0,0,0.0
gemini-3.1-pro-preview,3,N3P105,position paper,30,N0P58; N0P3; N2P69; N0P36; N1P107; N2P52; N0P34; N1P42; N1P103; N1P55; N1P74; N2P8; N1P39; N1P4; N0P70; N2P38; N0P47; N2P65; N0P82; N2P93; N0P64; SEED_10; N1P88; SEED_15; N1P100; N0P26; SEED_34; N0P111; N1P13; N2P111,N0P58; N1P107; N0P64; N2P69; SEED_10; SEED_15; N0P3; N1P4; N0P47; SEED_34,10,,0,0,0.0
gemini-3.1-pro-preview,3,N3P106,position paper,30,N2P42; N1P13; SEED_47; SEED_73; N0P19; N0P118; N0P104; N2P4; N1P63; N1P0; N2P70; N0P113; N1P6; N2P104; N1P56; N0P65; N2P63; SEED_2; N0P10; N0P3; N2P81; SEED_89; SEED_99; N2P37; SEED_17; N2P66; N2P67; N2P103; N1P64; N0P35,N1P13; N0P19; SEED_47; SEED_89; SEED_99; SEED_73; SEED_2; SEED_17; N2P42; N2P67,10,,0,0,0.0
